Current placement of the turf,Block,aspect,Tagsp,Site,Landuse,Other.weight.g,Other.subsample.wt.g,date,Target.weight.g,Target.subsample.wt.g
WET_P_5_1,5,,Cry.ori,Mwantimba,Pasture,11.88,2.68,21.5.2018,10.89,1.64
WET_W_1_1,1,,The.tri,Handajega,Wild,15.11,4.28,22.5.2018,22.03,8.72
WET_W_1_2,1,,,Handajega,Wild,9.63,2.7,22.5.2018,,
WET_W_1_3,1,,Cyn.dac,Handajega,Wild,6.15,0.55,22.5.2018,17.48,8.54
WET_W_2_1,2,,The.tri,Handajega,Wild,42.77,16.18,22.5.2018,7.1,1.39
WET_W_2_2,2,,Cry.ori,Handajega,Wild,11.85,2.18,22.5.2018,5.36,0.16
WET_W_2_3,2,,Cyn.dac,Handajega,Wild,8.38,1.68,22.5.2018,15.26,7.46
WET_W_2_4,2,,,Handajega,Wild,33.07,7.09,22.5.2018,,
WET_W_1_5,2,,The.tri,Handajega,Wild,54.12,17.32,22.5.2018,,
WET_W_3_1,3,,The.tri,Handajega,Wild,10.72,3.12,22.5.2018,8.06,1.88
WET_W_3_2,3,,,Handajega,Wild,6.79,0.96,22.5.2018,,
WET_W_3_3,3,,,Handajega,Wild,6.83,1.12,22.5.2018,,
WET_W_3_4,3,,,Handajega,Wild,12.7,2.13,22.5.2018,,
WET_W_3_5,3,,The.tri,Handajega,Wild,6.36,1.32,22.5.2018,34.16,6.43
WET_W_4_2,4,,,Handajega,Wild,6.2,0.93,22.5.2018,,
WET_W_1_4,4,,The.tri,Handajega,Wild,10.04,3.02,22.5.2018,,
WET_W_4_1,4,,The.tri,Handajega,Wild,11.02,1.83,22.5.2018,33.64,9.05
WET_W_4_3,4,,Cyn.dac,Handajega,Wild,21.93,10.96,22.5.2018,10.3,2.15
WET_W_4_4,4,,,Handajega,Wild,7.75,2.04,22.5.2018,,
WET_W_4_5,4,,The.tri,Handajega,Wild,6.28,0.52,22.5.2018,48.75,13.7
WET_W_2_5,2,,,Handajega,Wild,37.42,9.81,22.5.2018,9.97,0.97
