Current.placement.of.the.turf,date_extracted,insertion_date,harvest_date,Site,Block,Placement,wp,latitude,longitude,Source.ID,date,Landuse,Tagsp,Trasnplant,Treatment,InitialVegH,InitialVegCover,InitialTagSpcover,FilVegCover,FilTagspCover,FilVegH,Average.H.outside,Themeda.triandra,Digitaria.macroblephara,Crysochloa.orientalis,Chloris.pycnothris,Cynodon.dactylon,Other.weight.g,Other.subsample.wt.g,Target.weight.g,Target.subsample.wt.g,Soil.depth,weight.g,airdry.weight.g,ovendry.weight.g,weight.stones.g,pH,Total.depth.cm,Core.depth.cm,Vol.cm3,Stone.vol.cm3,BD.gcm3
CG_DRY_P_1_1,22/02/2017,23/02/2017,24/05/2018,Makao,1,DRY_P,1007,-3.40903502,34.85271798,SE_1_EX_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,4.9,50,45,45,0,19,21,0,45,0,0,0,7.12,1.36,,,5cm,110.7,53.6585,52.6316,2.4943,6.25,12,5,69.27211801,1.30751206,0.737697207
CG_DRY_P_1_2,22/02/2017,23/02/2017,24/05/2018,Makao,1,DRY_P,1007,-3.40903502,34.85271798,SE_1_OP_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,3,40,26,25,3,11,25,1,26,0,0,0,9.32,2.13,6.18,0.6,5cm,116.16,54.4743,53.3016,3.6537,6.21,12,5,69.27211801,1.91526954,0.737087633
CG_DRY_P_2_1,22/02/2017,23/02/2017,24/05/2018,Makao,2,DRY_P,1005,-3.408438982,34.85037197,SE_2_EX_4,25.5.2018,Pasture,Dig mac,Trasnplant,Open,3,45,38,30,10,13,17,0,38,0,0,0,11.22,2.83,6.94,1.38,5cm,75.11,41.0767,40.0904,1.6544,6.28,12,5,69.27211801,0.86723648,0.561889724
CG_DRY_P_2_2,22/02/2017,23/02/2017,24/05/2018,Makao,2,DRY_P,1005,-3.408438982,34.85037197,SE_2_OP_4,25.5.2018,Pasture,Dig mac,Trasnplant,Open,3,25,14,40,0,18,12,2,14,0,0,0,11.88,4.6,,,5cm,100.32,54.2629,53.0851,2.4185,6.28,11.5,5,69.27211801,1.2677777,0.745049504
CG_DRY_P_3_1,22/02/2017,23/02/2017,24/05/2018,Makao,3,DRY_P,1002,-3.406233033,34.85054699,SE_3_EX_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,3.3,25,19,25,0,32,35,3,19,0,0,0,14.69,6.85,,,5cm,110.66,44.505,43.4446,8.7885,6.39,13,5,69.27211801,4.6069317,0.535931341
CG_DRY_P_3_2,22/02/2017,23/02/2017,24/05/2018,Makao,3,DRY_P,1002,-3.406233033,34.85054699,SE_3_OP_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,2.5,35,10,95,0,38,45,10,10,0,0,0,13.32,4.94,,,5cm,101.51,36.1342,35.5273,9.1415,6.45,13,5,69.27211801,4.7919743,0.409208145
CG_DRY_P_4_1,22/02/2017,23/02/2017,24/05/2018,Makao,4,DRY_P,1004,-3.40675598,34.85159498,SE_4_EX_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,2.7,10,7,56,30,12,32,0,7,0,0,0,9.83,2.27,6.56,1.06,5cm,117.33,38.5966,37.7794,2.8769,6.37,13,5,69.27211801,1.50807098,0.515059261
CG_DRY_P_4_2,22/02/2017,23/02/2017,24/05/2018,Makao,4,DRY_P,1004,-3.40675598,34.85159498,SE_4_OP_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,3.3,30,24,30,10,9,27,3,24,0,0,0,14.2,4.31,6.43,0.95,5cm,101.55,46.161,45.5053,3.2654,6.16,13,5,69.27211801,1.71172268,0.625216886
CG_DRY_W_1_1,22/02/2017,23/02/2017,25/05/2018,Maswa,1,DRY_W,996,-3.299337029,34.84838798,SE_1_EX_3,22.5.2018,Wild,Dig mac,Trasnplant,Open,3.3,40,39,15,0,36,31,0,39,0,0,0,7.36,1.33,,,5cm,88.83,41.4315,40.3891,2.2331,6.33,14,5,69.27211801,1.17059102,0.560281123
CG_DRY_W_1_2,22/02/2017,23/02/2017,25/05/2018,Maswa,1,DRY_W,996,-3.299337029,34.84838798,SE_1_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.3,30,25,90,80,16,35,0,25,0,0,0,5.9,0.72,14.06,6.18,5cm,120.94,,34.1932,2.5251,6.3,14,5,69.27211801,1.32365742,0.466060595
CG_DRY_W_2_1,22/02/2017,23/02/2017,25/05/2018,Maswa,2,DRY_W,1009,-3.303211983,34.84773603,SE_2_EX_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.2,20,16,10,10,7,12,0,16,0,0,0,7.12,1.36,5.95,0.43,5cm,91.93,62.4556,60.7758,3.3878,6.19,10,5,69.27211801,1.77588476,0.850240039
CG_DRY_W_2_2,22/02/2017,23/02/2017,25/05/2018,Maswa,2,DRY_W,1009,-3.303211983,34.84773603,SE_2_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.7,25,14,20,10,43,46,2,14,0,0,0,43.61,14.36,7.55,1.74,5cm,94.47,43.7103,42.1934,0.6381,6.63,15,5,69.27211801,0.33449202,0.602795634
CG_DRY_W_3_1,22/02/2017,23/02/2017,25/05/2018,Maswa,3,DRY_W,998,-3.295644969,34.85243501,SE_3_EX_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,1.8,35,11,3,0,0,1,2,11,0,0,0,5.68,0.28,,,5cm,103.97,39.4015,38.0109,0.4247,6.5,13,5,69.27211801,0.22262774,0.54433711
CG_DRY_W_3_2,22/02/2017,23/02/2017,25/05/2018,Maswa,3,DRY_W,998,-3.295644969,34.85243501,SE_3_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.3,35,16,5,2,6,1,16,16,0,0,0,5.84,0.53,5.85,0.32,5cm,92.24,30.7871,30.1388,0.2829,5.63,13,5,69.27211801,0.14829618,0.431919116
CG_DRY_W_4_1,22/02/2017,23/02/2017,25/05/2018,Maswa,4,DRY_W,999,-3.296578-2.43741503,34.85480399,SE_4_EX_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,1.7,6,5,10,0,1,1,0,5,0,0,0,5.2,0.87,,,5cm,97.25,40.7548,39.5454,1.014,6.7,13,5,69.27211801,0.5315388,0.560533537
CG_DRY_W_4_2,22/02/2017,23/02/2017,25/05/2018,Maswa,4,DRY_W,999,-3.296578-2.43741503,34.85480399,SE_4_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.5,20,14,15,12,2,5,0,14,0,0,0,6.55,0.93,6.42,0.83,5cm,98.05,54.8657,53.0501,0.6328,6.65,13,5,69.27211801,0.33171376,0.760327714
CG_WET_P_1_1,18/02/2017,20/02/2017,21/05/2018,Mwantimba,1,WET_P,958,-2.350156987,34.05000198,SE_1_EX_2,24.5.2018,Pasture,Dig mac,Trasnplant,Open,3.1,40,36,75,0,5,20,0,36,0,0,0,,,5.77,0.16,5cm,72.44,39.8317,39.0631,0.4546,5.86,11,5,69.27211801,0.23830132,0.559269382
CG_WET_P_1_2,18/02/2017,19/02/2017,21/05/2018,Mwantimba,1,WET_P,958,-2.350156987,34.05000198,SE_1_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.7,18,9,70,2,7,3,0,9,0,0,0,8.27,1.78,,,5cm,58.85,41.9721,41.0281,1.2755,5.79,13,5,69.27211801,0.6686171,0.579454393
