Current.placement.of.the.turf,Site,Block,Placement,Source.ID,date,Landuse,Tagsp,Trasnplant,Treatment,InitialVegH,InitialVegCover,InitialTagSpcover,FilVegCover,FilTagspCover,FilVegH,Average.H.outside,Themeda.triandra,Digitaria.macroblephara,Crysochloa.orientalis,Chloris.pycnothris,Cynodon.dactylon,Other.weight.g,Other.subsample.wt.g,Target.weight.g,Target.subsample.wt.g
CG_DRY_P_1_1,Makao,1,DRY_P,SE_1_EX_4,24.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,4.9,50,45,45,0,19,21,0,45,0,0,0,7.12,1.36,,
CG_DRY_P_1_2,Makao,1,DRY_P,SE_1_OP_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,3,40,26,25,3,11,25,1,26,0,0,0,9.32,2.13,6.18,0.6
CG_DRY_P_2_1,Makao,2,DRY_P,SE_2_EX_4,25.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,3,45,38,30,10,13,17,0,38,0,0,0,11.22,2.83,6.94,1.38
CG_DRY_P_2_2,Makao,2,DRY_P,SE_2_OP_4,25.5.2018,Pasture,Dig mac,Trasnplant,Open,3,25,14,40,0,18,12,2,14,0,0,0,11.88,4.6,,
CG_DRY_P_3_1,Makao,3,DRY_P,SE_3_EX_4,24.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,3.3,25,19,25,0,32,35,3,19,0,0,0,14.69,6.85,,
CG_DRY_P_3_2,Makao,3,DRY_P,SE_3_OP_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,2.5,35,10,95,0,38,45,10,10,0,0,0,13.32,4.94,,
CG_DRY_P_4_1,Makao,4,DRY_P,SE_4_EX_4,24.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,2.7,10,7,56,30,12,32,0,7,0,0,0,9.83,2.27,6.56,1.06
CG_DRY_P_4_2,Makao,4,DRY_P,SE_4_OP_4,24.5.2018,Pasture,Dig mac,Trasnplant,Open,3.3,30,24,30,10,9,27,3,24,0,0,0,14.2,4.31,6.43,0.95
CG_DRY_W_1_1,Maswa,1,DRY_W,SE_1_EX_3,22.5.2018,Wild,Dig mac,Trasnplant,Exclosed,3.3,40,39,15,0,36,31,0,39,0,0,0,7.36,1.33,,
CG_DRY_W_1_2,Maswa,1,DRY_W,SE_1_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.3,30,25,90,80,16,35,0,25,0,0,0,5.9,0.72,14.06,6.18
CG_DRY_W_2_1,Maswa,2,DRY_W,SE_2_EX_3,25.5.2018,Wild,Dig mac,Trasnplant,Exclosed,2.2,20,16,10,10,7,12,0,16,0,0,0,7.12,1.36,5.95,0.43
CG_DRY_W_2_2,Maswa,2,DRY_W,SE_2_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.7,25,14,20,10,43,46,2,14,0,0,0,43.61,14.36,7.55,1.74
CG_DRY_W_3_1,Maswa,3,DRY_W,SE_3_EX_3,25.5.2018,Wild,Dig mac,Trasnplant,Exclosed,1.8,35,11,3,0,0,1,2,11,0,0,0,5.68,0.28,,
CG_DRY_W_3_2,Maswa,3,DRY_W,SE_3_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.3,35,16,5,2,6,1,16,16,0,0,0,5.84,0.53,5.85,0.32
CG_DRY_W_4_1,Maswa,4,DRY_W,SE_4_EX_3,25.5.2018,Wild,Dig mac,Trasnplant,Exclosed,1.7,6,5,10,0,1,1,0,5,0,0,0,5.2,0.87,,
CG_DRY_W_4_2,Maswa,4,DRY_W,SE_4_OP_3,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.5,20,14,15,12,2,5,0,14,0,0,0,6.55,0.93,6.42,0.83
CG_WET_P_1_1,Mwantimba,1,WET_P,SE_1_EX_2,24.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,3.1,40,36,75,0,5,20,0,36,0,0,0,,,5.77,0.16
CG_WET_P_1_2,Mwantimba,1,WET_P,SE_1_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.7,18,9,70,2,7,3,0,9,0,0,0,8.27,1.78,,
CG_WET_P_2_1,Mwantimba,2,WET_P,SE_2_EX_2,21.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,3.5,45,38,90,2,25,37,2,38,0,0,0,18.81,5.17,,
CG_WET_P_2_2,Mwantimba,2,WET_P,SE_2_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.7,25,12,97,20,38,32,0,12,0,0,0,19.7,14.54,6.78,0.82
CG_WET_P_3_1,Mwantimba,3,WET_P,SE_3_EX_2,21.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,2.8,50,44,,,,,2,44,0,0,0,,,,
CG_WET_P_3_2,Mwantimba,3,WET_P,SE_3_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,3,30,18,,,,,0,18,0,0,10,,,,
CG_WET_P_4_1,Mwantimba,4,WET_P,SE_4_EX_2,21.5.2018,Pasture,Dig mac,Trasnplant,Exclosed,2.5,45,45,,,,,0,45,0,0,0,,,,
CG_WET_P_4_2,Mwantimba,4,WET_P,SE_4_OP_2,21.5.2018,Pasture,Dig mac,Trasnplant,Open,2.3,35,11,,,,,12,11,0,0,0,,,,
CG_WET_W_1_1,Handajega,1,WET_W,SE_1_EX_1,25.5.2018,Wild,Dig mac,Trasnplant,Exclosed,4,30,27,45,20,61,71,0,27,0,0,0,40.58,12.69,19.05,6.8
CG_WET_W_1_2,Handajega,1,WET_W,SE_1_OP_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,8,30,20,50,35,35,70,0,20,0,0,0,6.05,0.46,,
CG_WET_W_2_1,Handajega,2,WET_W,SE_2_OP_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,3.9,12,7,65,20,17,51,1,7,0,0,0,11.02,2.06,18.16,4.76
CG_WET_W_2_2,Handajega,2,WET_W,SE_2_EX_1,22.5.2018,Wild,Dig mac,Trasnplant,Exclsoed,3.2,45,40,97,10,24,75,2,40,0,0,0,16.06,8.91,16.81,5.46
CG_WET_W_3_1,Handajega,3,WET_W,SE_3_EX_1,22.5.2018,Wild,Dig mac,Trasnplant,Exclosed,2.9,45,22,80,15,26,68,1,22,0,0,0,13.25,4.82,12.04,2.12
CG_WET_W_3_2,Handajega,3,WET_W,SE_3_OP_1,22.5.2018,Wild,Dig mac,Trasnplant,Open,2.6,40,30,15,5,9,36,0,30,0,0,10,4.78,0.22,9.57,0.8
CG_WET_W_4_1,Handajega,4,WET_W,SE_4_EX_1,22.5.2018,Wild,Dig mac,Trasnplant,Exclosed,3,32,22,45,0,19,83,10,22,0,0,0,23.9,10.37,,
CG_WET_W_4_2,Handajega,4,WET_W,SE_4_OP_1,25.5.2018,Wild,Dig mac,Trasnplant,Open,2.2,15,12,70,0,53,72,0,12,0,0,0,39.75,7.84,,
DRY_P_1_1,Makao,1,DRY_P,WET_W_1_4,24.5.2018,Pasture,The tri,Trasnplant,Open,6,55,55,30,10,17,34,55,0,0,0,0,15.13,2.19,7.39,1.13
DRY_P_1_2,Makao,1,DRY_P,WET_P_1_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,2.9,15,12,25,0,12,28,0,0,12,0,0,9.62,2.5,,
DRY_P_1_3,Makao,1,DRY_P,DRY_W_1_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.2,30,20,20,0,18,29,0,0,0,0,20,10.59,2.99,,
DRY_P_1_4,Makao,1,DRY_P,DRY_P_2_3,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,3,20,17,30,25,10,20,0,0,0,17,0,6.63,0.76,8.79,2.41
DRY_P_1_5,Makao,1,DRY_P,DRY_P_1_5,24.5.2018,Pasture,Chl pyc,Control,Open,3.3,25,19,90,85,27,34,0,0,0,19,0,6.25,0.49,14.75,3.18
DRY_P_2_1,Makao,2,DRY_P,WET_W_2_4,24.5.2018,Pasture,The tri,Trasnplant,Open,5.7,55,51,20,0,11,34,51,2,0,0,0,9.9,5.39,,
DRY_P_2_2,Makao,2,DRY_P,WET_P_2_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,1.7,10,7,5,0,7,18,0,0,7,1,0,6.14,0.46,,
DRY_P_2_3,Makao,2,DRY_P,DRY_W_2_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,2.2,25,13,35,5,27,33,0,0,0,0,13,12.78,4.05,6.21,0.4
DRY_P_2_4,Makao,2,DRY_P,DRY_P_1_4,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,4.2,10,7,15,8,9,21,0,0,0,7,0,7.34,1.04,6.04,0.77
DRY_P_2_5,Makao,2,DRY_P,DRY_P_2_5,24.5.2018,Pasture,Chl pyc,Control,Open,3.5,60,48,35,15,9,26,0,0,0,48,0,7.31,1.05,11.65,3.55
DRY_P_3_1,Makao,3,DRY_P,WET_W_3_4,24.5.2018,Pasture,The tri,Trasnplant,Open,5.5,80,74,95,5,38,46,74,0,0,0,0,28.69,8.5,6.85,1.02
DRY_P_3_2,Makao,3,DRY_P,WET_P_3_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,,50,25,90,0,43,42,0,0,25,25,0,31.53,11.59,,
DRY_P_3_3,Makao,3,DRY_P,DRY_W_3_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,1.2,45,22,95,0,47,58,0,0,0,0,22,26.6,8.06,,
DRY_P_3_4,Makao,3,DRY_P,DRY_P_4_4,24.5.2018,Pasture,Chl pyc,Trasnplant,Open,4.2,60,15,95,20,51,33,0,0,0,15,0,,,,
DRY_P_3_5,Makao,3,DRY_P,DRY_P_3_5,24.5.2018,Pasture,Chl pyc,Control,Open,3.7,55,15,95,80,40,30,0,0,0,15,0,10.6,2.8,12.71,4.67
DRY_P_4_1,Makao,4,DRY_P,WET_W_4_4,24.5.2018,Pasture,The tri,Trasnplant,Open,6,40,35,75,0,34,45,35,0,0,0,0,19.62,7.55,,
DRY_P_4_2,Makao,4,DRY_P,WET_P_4_4,24.5.2018,Pasture,Chr ori,Trasnplant,Open,2,40,31,45,0,12,21,0,0,31,8,0,11.52,3.18,,
DRY_P_4_3,Makao,4,DRY_P,DRY_W_4_4,24.5.2018,Pasture,Cyn dac,Trasnplant,Open,3,35,20,80,15,12,32,0,0,0,0,20,20.55,7.42,6.96,1.09
