"Plant.N","landuse","region","transplant","site","block","Tagsp","treatment","InitialTagSpcover","FilTagspCover","Biomass.g.m2","Plant.CN"
1.13,"Pasture","Dry 
 (1175 mm)","Transplant","Makao",4,"Chl pyc","Open",25,NA,0.173160578083982,35.43428004
NA,"Pasture","Dry 
 (1175 mm)","Control","Makao",4,"Chl pyc","Open",16,NA,NA,NA
1.91,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",1,"The tri","Open",45,3,0.101859163578813,21.40848207
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",1,"Chr ori","Open",23,0,NA,NA
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",1,"Cyn dac","Open",18,10,0.114693418189743,NA
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",1,"Chl pyc","Open",10,0,NA,NA
1.79,"Wild","Dry 
 (1175 mm)","Control","Maswa",1,"Cyn dac","Open",20,30,0.205348073774887,22.11794688
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",2,"The tri","Open",39,NA,NA,NA
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",2,"Chr ori","Open",22,NA,NA,NA
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",2,"Cyn dac","Open",25,NA,NA,NA
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",2,"Chl pyc","Open",33,NA,NA,NA
NA,"Wild","Dry 
 (1175 mm)","Control","Maswa",2,"Cyn dac","Open",18,NA,NA,NA
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",3,"The tri","Open",55,0,NA,NA
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",3,"Chr ori","Open",44,0,NA,NA
1.98,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",3,"Cyn dac","Open",23,20,0.158696576855791,19.57298839
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",3,"Chl pyc","Open",9,0,NA,NA
2.44,"Wild","Dry 
 (1175 mm)","Control","Maswa",3,"Cyn dac","Open",30,23,0.12956485607225,16.42945483
1.89,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",4,"The tri","Open",40,15,0.122230996294576,21.82393303
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",4,"Chr ori","Open",9,0,NA,NA
1.47,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",4,"Cyn dac","Open",17,60,0.209015003663724,27.64985631
NA,"Wild","Dry 
 (1175 mm)","Transplant","Maswa",4,"Chl pyc","Open",14,0,NA,NA
2.1,"Wild","Dry 
 (1175 mm)","Control","Maswa",4,"Cyn dac","Open",25,50,0.272575121736904,17.61063531
0.67,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"The tri","Exclosed",8,35,0.431067980265537,60.81897985
1.09,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"Chr ori","Exclosed",50,50,0.461422011012023,36.51995931
0.81,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"Cyn dac","Exclosed",35,5,0.218997201694448,52.01230193
1.08,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"Chl pyc","Exclosed",19,2,0.115100854844059,37.39275708
0.81,"Wild","Intermediate 
 (1440 mm)","Control","Seronera",1,"Dig mac","Exclosed",14,70,1.48979212650372,49.42117395
0.93,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"The tri","Open",8,55,0.478738068820421,44.00058576
1.44,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"Chr ori","Open",23,70,0.200866270577419,27.50311976
1.09,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"Cyn dac","Open",7,3,0.125897926183413,37.06722288
NA,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",1,"Chl pyc","Open",15,0,NA,NA
NA,"Wild","Intermediate 
 (1440 mm)","Control","Seronera",1,"Dig mac","Open",18,20,NA,NA
NA,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"The tri","Exclosed",16,15,NA,NA
0.84,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"Chr ori","Exclosed",18,80,0.381768145093391,49.29353479
0.83,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"Cyn dac","Exclosed",24,8,0.335116648174295,46.54003842
NA,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"Chl pyc","Exclosed",15,0,NA,NA
NA,"Wild","Intermediate 
 (1440 mm)","Control","Seronera",2,"Dig mac","Exclosed",10,0,NA,NA
1.5,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"The tri","Open",15,5,0.127527672800674,27.02245145
1.22,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"Chr ori","Open",20,55,0.176420071318504,32.28712736
0.7,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"Cyn dac","Open",71,5,0.128342546109304,57.48943345
NA,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",2,"Chl pyc","Open",57,0,NA,NA
NA,"Wild","Intermediate 
 (1440 mm)","Control","Seronera",2,"Dig mac","Open",4,0,NA,NA
0.82,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",3,"The tri","Exclosed",17,60,1.13287761732356,48.19122689
NA,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",3,"Chr ori","Exclosed",9,0,NA,NA
NA,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",3,"Cyn dac","Exclosed",7,0,NA,NA
NA,"Wild","Intermediate 
 (1440 mm)","Transplant","Seronera",3,"Chl pyc","Exclosed",10,0,NA,NA
1.22,"Wild","Intermediate 
 (1440 mm)","Control","Seronera",3,"Dig mac","Exclosed",16,5,0.147288350534964,31.46966968
