Current placement of the turf,Placement,Source ID ,Tagsp,InitialVegH,InitialVegCover (%),InitialTagSpcover,FinalVegCover,FinalTagspCover,FinalVegH,Average H outside,Themeda triandra (%) ,Digitaria macroblephara (%),Crysochloa orientalis (%) ,Chloris pycnothris (%),Cynodon dactylon
SE_3_EX_3,SE_EX,CG_WET_P_2_2,Chr ori,1.5,8,7,10,0,41,92,0,0,7,1,0
SE_2_EX_4,SE_EX,CG_WET_P_3_1,Chr ori,1.4,25,15,80,0,15,64,0,0,15,10,0
SE_2_EX_3,SE_EX,CG_WET_P_3_2,Chr ori,1.6,30,24,25,8,44,59,0,0,24,5,0
SE_1_OP_4,SE_OP,CG_WET_P_4_1,Chr ori,2.2,25,15,75,0,23,21,0,0,15,10,0
SE_1_OP_3,SE_OP,CG_WET_P_4_2,Chr ori,2.0,8,7,20,3,20,66,0,0,7,1,0
SE_4_OP_3,SE_OP,CG_WET_W_1_1,The tri,6.3,60,60,1,0,4,86,60,0,0,0,0
SE_4_OP_4,SE_OP,CG_WET_W_1_2,The tri,6.3,55,53,1,0,2,77,53,0,0,0,0
SE_2_OP_3,SE_OP,CG_WET_W_2_1,The tri,7.3,75,71,25,5,28,55,71,0,0,0,0
SE_2_OP_4,SE_OP,CG_WET_W_2_2,The tri,5.2,65,57,3,0,5,38,57,2,0,0,0
SE_4_EX_4,SE_EX,CG_WET_W_3_1,The tri,7.0,50,43,30,0,25,88,43,0,0,0,0
SE_4_EX_3,SE_EX,CG_WET_W_3_2,The tri,7.2,65,45,10,2,40,82,45,0,0,0,0
SE_3_OP_4,SE_OP,CG_WET_W_4_1,The tri,3.0,40,38,10,1,46,87,38,0,0,0,0
SE_3_OP_3,SE_OP,CG_WET_W_4_2,The tri,8.0,50,44,45,0,37,89,44,5,0,0,0
WET_W_1_4,WET_W,DRY_P_1_1,Chl pyc,3.7,20,9,20,0,19,116,0,0,0,9,3
WET_P_1_4,WET_P,DRY_P_1_2,Chl pyc,3.2,40,29,97,0,19,5,0,0,0,29,0
DRY_W_1_4,DRY_W,DRY_P_1_3,Chl pyc,2.7,35,10,,,0,0,0,0,0,10,0
DRY_P_2_4,DRY_P,DRY_P_1_4,Chl pyc,4.2,10,7,15,8,9,21,0,0,0,7,0
DRY_P_1_5,DRY_P,DRY_P_1_5,Chl pyc,3.3,25,19,90,85,27,34,0,0,0,19,0
WET_W_2_4,WET_W,DRY_P_2_1,Chl pyc,3.2,25,22,30,0,46,54,0,0,0,22,0
WET_P_2_4,WET_P,DRY_P_2_2,Chl pyc,5.8,30,10,80,3,23,38,0,0,0,10,0
DRY_P_1_4,DRY_P,DRY_P_2_3,Chl pyc,3.0,20,17,30,25,10,20,0,0,0,17,0
