plot.id,block.id.harvest,site.id,block.id,stu.block.id,site.name,region,transplant,landuse,block,stu.block,treatment,harvest,wp,lat,long,setup.date,harvest.date,growth.period,Tagsp,pasture.disc.setup,height..setup,target.sp.cover.setup,total.veg.cover.setup,pasture.disc.harvest,height.harvest,target.sp.cover.harvest..,total.veg.cover.harvest..,PREVIOUS..HX.1.biomass.target.sp.g,PREVIOUS..HX.1.biomass.other.sp.g,PREVIOUS..HX.1.biomass.total.g,biomass.total.g,productivity.total.g.m2.day,consumption.total.g.m2.day,productivity.total.g.m2.dayWEIGHTED,consumption.total.g.m2.dayWEIGHTED,pool,biomass.sp,prodsp,conssp,prodsp.per,conssp.per,Plant.N.SUA,Plant.N.NTNU,Plant.C,Plant.N,Plant.CN,Lag.N,rain.sum,rain.acc.sum,map15_17,sand.per,N.per,SOC.per,rain.sum,zero.days,consec.NoRain.days
WET_W_1_H0,WET_W_1_H1,WET_W,WET_W_1,WET_W_3,Handajega,WET,Control,W,1,3,H0,H0,954,-2.272484,34.023326,2/16/2017,,0,The tri,3,2.6,15,50,,,,,,,,15.8,,,,,target,1.83,,,,,,1.86,35.95,1.86,19.32795699,,0,0,1279.26,64.67,0.102,1.39,78.96019584,26,15
WET_W_2_H0,WET_W_2_H1,WET_W,WET_W_2,WET_W_4,Handajega,WET,Control,W,2,4,H0,H0,953,-2.2783,34.024459,2/16/2017,,0,The tri,,,10,40,,,,,,,,12.36,,,,,target,2.22,,,,,,1.51,37.71,1.51,24.97350993,,0,0,1279.26,62.05,0.113,,78.96019584,26,16
WET_W_3_H0,WET_W_3_H1,WET_W,WET_W_3,WET_W_1,Handajega,WET,Control,W,3,1,H0,H0,951,-2.277999,34.027678,2/16/2017,,0,The tri,3.4,3.8,25,60,,,,,,,,22.77,,,,,target,8.61,,,,,,1.35,39.53,1.35,29.28148148,,0,0,1279.26,59.67,0.108,1.45,78.96019584,26,16
WET_W_4_H0,WET_W_4_H1,WET_W,WET_W_4,WET_W_2,Handajega,WET,Control,W,4,2,H0,H0,950,-2.278837,34.031884,2/16/2017,,0,The tri,1.5,2.6,25,70,,,,,,,,29.26,,,,,target,,,,,,,,,,,,0,0,1279.26,55.57,0.131,,78.96019584,26,17
WET_P_1_H0,WET_P_1_H1,WET_P,WET_P_1,WET_P_1,Mwantimba,WET,Control,P,1,1,H0,H0,957,-2.350052,34.049976,2/17/2017,,0,Chr ori,0.5,,1,5,,,,,,,,3.28,,,,,target,2.42,,,,,,3.06,38.66,3.06,12.63398693,,0,0,1295.06,45,0.135,1.17,76.36017226,27,13
WET_P_2_H0,WET_P_2_H1,WET_P,WET_P_2,WET_P_2,Mwantimba,WET,Control,P,2,2,H0,H0,959,-2.348488,34.05011,2/17/2017,,0,Chr ori,0.5,0.8,1,15,,,,,,,,3.21,,,,,target,0.69,,,,,,2.12,41.24,2.12,19.45283019,,0,0,1295.06,45.98,0.119,,76.36017226,27,14
WET_P_3_H0,WET_P_3_H1,WET_P,WET_P_3,WET_P_4,Mwantimba,WET,Control,P,3,4,H0,H0,1022,-2.367293,34.062509,2/17/2017,,0,Chr ori,1,1.2,,,,,,,,,,4.96,,,,,target,,,,,,,,,,,,0,0,1295.06,42.5,0.17,1.6,76.36017226,27,15
WET_P_4_H0,WET_P_4_H1,WET_P,WET_P_4,WET_P_3,Mwantimba,WET,Control,P,4,3,H0,H0,1020,-2.36857,34.062586,2/23/2017,,0,Chr ori,,0.7,12,20,,,,,,,,4.41,,,,,target,1.65,,,,,,2.19,40.41,2.19,18.45205479,,0,0,1295.06,57.26,0.154,,110.6849853,27,13
DRY_W_1_H0,DRY_W_1_H1,DRY_W,DRY_W_1,DRY_W_3,Maswa,DRY,Control,W,1,3,H0,H0,995,-3.299332,34.848458,2/19/2017,,0,Cyn dac,,0.3,22,30,,,,,,,,14.22,,,,,target,12.24,,,,,4.66,2.18,40.23,2.18,18.45412844,,0,0,754.84,12,0.294,2.34,93.74213855,28,14
DRY_W_2_H0,DRY_W_2_H1,DRY_W,DRY_W_2,DRY_W_4,Maswa,DRY,Control,W,2,4,H0,H0,980,-3.303268,34.847796,2/19/2017,,0,Cyn dac,,0.4,12,40,,,,,,,,11.25,,,,,target,3.99,,,,,,1.76,38.98,1.76,22.14772727,,0,0,754.84,17.39,0.264,,93.74213855,28,15
