Sample_code,Site,Block,Place ment,Source.ID,Date,Landuse,Tagsp,Trasnplant,Treatment,NO3-N  mg/Kg,NO3-N  mg/Kg,NO3-N  mg/Kg,NH4-N mg/Kg,NH4-N mg/Kg,NH4-N mg/Kg,NO3-N  mg/Kg/day,NH4-N mg/Kg/day
SE_4_EX_5,Seronera,4,SE_EX,SE_4_EX_5,19/5/18,Wild,Dig mac,Control,Exclosed,0.72,4.32576979,5.524861878,11.56,82.58287782,94.71191792,0.080120024,1.385826851
SE_4_OP_5,Seronera,4,SE_OP,SE_4_OP_5,19/5/18,Wild,Dig mac,Control,Open,5.18,0.714881449,0.982723717,14.74,63.54501767,74.6870025,-0.069928898,0.999138591
CG_WET_P_1_1,Mwantimba,1,WET_P,SE_1_EX_2,24/5/18,Pasture,Dig mac,Trasnplant,Open,7.49,7.884414484,9.088753655,17.36,90.67076656,126.4522248,0.026568802,1.81827083
CG_WET_P_1_2,Mwantimba,1,WET_P,SE_1_OP_2,21/5/18,Pasture,Dig mac,Trasnplant,Open,13.16,14.26787944,13.8493194,24.33,110.9723956,118.708452,0.011410014,1.572894488
CG_WET_P_2_1,Mwantimba,2,WET_P,SE_2_EX_2,21/5/18,Pasture,Dig mac,Trasnplant,Open,2.56,2.430182064,4.740647098,18.93,79.67810047,86.91186347,0.036291751,1.133067425
CG_WET_P_2_2,Mwantimba,2,WET_P,SE_2_OP_2,21/5/18,Pasture,Dig mac,Trasnplant,Open,3.50,2.799574149,2.715840435,15.32,74.91818146,98.40001574,-0.013013341,1.384627615
WET_P_1_5,Mwantimba,1,WET_P,WET_P_1_5,21/5/18,Pasture,Chr ori,Control,Open,3.64,2.372713791,5.567818012,15.98,94.90855166,119.310386,0.032187273,1.722090197
WET_P_2_5,Mwantimba,2,WET_P,WET_P_2_5,21/5/18,Pasture,Chr ori,Control,Open,1.91,2.215584261,6.716049383,13.53,83.0844098,75.0617284,0.080107928,1.025593019
WET_P_3_5,Mwantimba,3,WET_P,WET_P_3_5,21/5/18,Pasture,Chr ori,Control,Open,0.51,0.877367896,1.078705553,12.26,83.74875374,95.88493807,0.009409276,1.393741038
CG_WET_W_1_1,Handajega,1,WET_W,SE_1_EX_1,25/5/18,Wild,Dig mac,Trasnplant,Open,3.92,2.643341183,3.497128778,13.19,57.67289854,67.55816957,-0.006987802,0.906171707
CG_WET_W_1_2,Handajega,1,WET_W,SE_1_OP_1,22/5/18,Wild,Dig mac,Trasnplant,Open,9.09,9.574531746,10.37323705,11.86,67.81959986,43.88677213,0.021390097,0.533841175
CG_WET_W_2_1,Handajega,2,WET_W,SE_2_OP_1,22/5/18,Wild,Dig mac,Trasnplant,Open,5.97,13.1831256,15.93657244,15.13,55.92841163,67.73043288,0.166063471,0.876657171
CG_WET_W_2_2,Handajega,2,WET_W,SE_2_EX_1,22/5/18,Wild,Dig mac,Trasnplant,Open,13.49,11.44458257,10.99915542,15.08,78.92815565,82.49366566,-0.0414994,1.123626517
CG_WET_W_3_1,Handajega,3,WET_W,SE_3_EX_1,22/5/18,Wild,Dig mac,Trasnplant,Open,11.18,3.389898104,3.657615394,14.38,63.80984666,71.56204031,-0.125415664,0.953074489
CG_WET_W_3_2,Handajega,3,WET_W,SE_3_OP_1,22/5/18,Wild,Dig mac,Trasnplant,Open,2.60,0.910927165,1.672407271,15.36,55.4477405,55.74690903,-0.015453249,0.673093724
CG_WET_W_4_1,Handajega,4,WET_W,SE_4_EX_1,22/5/18,Wild,Dig mac,Trasnplant,Open,3.03,3.010914565,3.184901209,13.37,79.23459382,90.43546643,0.002600476,1.284353727
CG_WET_W_4_2,Handajega,4,WET_W,SE_4_OP_1,25/5/18,Wild,Dig mac,Trasnplant,Open,0.83,8.303349017,9.975659391,12.65,79.07951445,95.76633015,0.152422896,1.385239304
WET_W_1_5,Handajega,1,WET_W,WET_W_1_5,22/5/18,Wild,The tri,Control,Open,3.66,5.936479668,5.961844197,20.85,67.2801029,79.49125596,0.038376464,0.977290491
WET_W_2_5,Handajega,2,WET_W,WET_W_2_5,22/5/18,Wild,The tri,Control,Open,2.84,2.512362418,2.897400278,13.81,79.75753709,103.1950784,0.00094152,1.489751727
WET_W_3_5,Handajega,3,WET_W,WET_W_3_5,22/5/18,Wild,The tri,Control,Open,8.72,3.562099264,12.22228793,16.25,112.79981,102.5095117,0.058346358,1.437596586
WET_W_4_5,Handajega,4,WET_W,WET_W_4_5,22/5/18,Wild,The tri,Control,Open,1.72,1.877221712,1.89390203,15.58,67.89950873,78.91258458,0.002934442,1.055536931
