"Current.placement.of.the.turf.x","Site.x","Block.x","Placement","Source.ID","Landuse.x","Tagsp.x","InitialVegH","InitialVegCover....","InitialTagSpcover","FinalVegCover","FinalTagspCover","FinalVegH","Average.H.outside","Themeda.triandra....","Digitaria.macroblephara....","Crysochloa.orientalis....","Chloris.pycnothris....","Cynodon.dactylon","fCurrent.placement.of.the.turf","Current.placement.of.the.turf.y","Block.y","aspect","Tagsp.y","Site.y","Landuse.y","Other.weight.g","Other.subsample.wt.g","date","Target.weight.g","Target.subsample.wt.g"
"CG_DRY_P_1_1","Makao",1,"DRY_P","SE_1_EX_4","Pasture","Dig mac",4.9,50,45,45,0,19,21,0,45,0,0,0,"CG_DRY_P_1_1","CG_DRY_P_1_1",1,"n","Dig.mac","Makao","Pasture",10.07,2.89,"24.5.2018",NA,NA
"CG_DRY_P_1_2","Makao",1,"DRY_P","SE_1_OP_4","Pasture","Dig mac",3,40,26,25,3,11,25,1,26,0,0,0,"CG_DRY_P_1_2","CG_DRY_P_1_2",1,"s","Dig.mac","Makao","Pasture",9.32,2.13,"24.5.2018",6.18,0.6
"CG_DRY_P_2_1","Makao",2,"DRY_P","SE_2_EX_4","Pasture","Dig mac",3,45,38,30,10,13,17,0,38,0,0,0,"CG_DRY_P_2_1","CG_DRY_P_2_1",2,"n","Dig.mac","Maswa","Wild",7.12,1.36,"24.5.2018",5.95,0.43
"CG_DRY_P_2_1","Makao",2,"DRY_P","SE_2_EX_4","Pasture","Dig mac",3,45,38,30,10,13,17,0,38,0,0,0,"CG_DRY_P_2_1","CG_DRY_P_2_1",2,"n","Dig.mac","Makao","Pasture",11.22,2.83,"25.5.2018",6.94,1.38
"CG_DRY_P_2_2","Makao",2,"DRY_P","SE_2_OP_4","Pasture","Dig mac",3,25,14,40,0,18,12,2,14,0,0,0,"CG_DRY_P_2_2","CG_DRY_P_2_2",2,"","Dig.mac","Makao","Pasture",11.88,4.6,"19.5.2018",NA,NA
"CG_DRY_P_3_1","Makao",3,"DRY_P","SE_3_EX_4","Pasture","Dig mac",3.3,25,19,25,0,32,35,3,19,0,0,0,"CG_DRY_P_3_1","CG_DRY_P_3_1",3,"n","","Makao","Pasture",14.69,6.85,"24.5.2018",NA,NA
"CG_DRY_P_3_2","Makao",3,"DRY_P","SE_3_OP_4","Pasture","Dig mac",2.5,35,10,95,0,38,45,10,10,0,0,0,"CG_DRY_P_3_2","CG_DRY_P_3_2",3,"s","","Makao","Pasture",13.32,4.94,"24.5.2018",NA,NA
"CG_DRY_P_4_1","Makao",4,"DRY_P","SE_4_EX_4","Pasture","Dig mac",2.7,10,7,56,30,12,32,0,7,0,0,0,"CG_DRY_P_4_1","CG_DRY_P_4_1",4,"n","Dig.mac","Makao","Pasture",9.83,2.27,"24.5.2018",6.56,1.06
"CG_DRY_P_4_2","Makao",4,"DRY_P","SE_4_OP_4","Pasture","Dig mac",3.3,30,24,30,10,9,27,3,24,0,0,0,"CG_DRY_P_4_2","CG_DRY_P_4_2",4,"s","Dig.mac","Makao","Pasture",14.2,4.31,"24.5.2018",6.43,0.95
"CG_DRY_W_1_1","Maswa",1,"DRY_W","SE_1_EX_3","Wild","Dig mac",3.3,40,39,15,0,36,31,0,39,0,0,0,"CG_DRY_W_1_1","CG_DRY_W_1_1",1,"n","","Maswa","Wild",7.36,1.33,"22.5.2018",NA,NA
