Current.placement.of.the.turf,Soil.depth,Sample_code,Site,date,weight.g,airdry.weight.g,ovendry.weight.g,weight.stones.g,pH.ID,pH,Total.depth.cm,Core.depth.cm,Vol.cm3,Stone.vol.cm3,BD.gcm3
CG_DRY_P_1_1,5cm,CG_DRY_P_1_1_5cm,Makao,23.5.2018,110.7,53.6585,52.6316,2.4943,59,6.25,12,5,69.27211801,1.30751206,0.737697207
CG_DRY_P_1_1,deep,CG_DRY_P_1_1_deep,Makao,24.5.2018,140.02,38.1977,36.1303,4.2099,60,6.58,12,7,96.98096522,2.20682958,0.336804971
CG_DRY_P_1_2,5cm,CG_DRY_P_1_2_5cm,Makao,24.5.2018,116.16,54.4743,53.3016,3.6537,61,6.21,12,5,69.27211801,1.91526954,0.737087633
CG_DRY_P_1_2,deep,CG_DRY_P_1_2_deep,Makao,23.5.2018,162.26,57.9914,57.1823,8.4957,62,6.58,12,7,96.98096522,4.45344594,0.526185079
CG_DRY_P_2_1,5cm,CG_DRY_P_2_1_5cm,Makao,24.5.2018,75.11,41.0767,40.0904,1.6544,63,6.28,12,5,69.27211801,0.86723648,0.561889724
CG_DRY_P_2_1,deep,CG_DRY_P_2_1_deep,Makao,24.5.2018,150.97,45.2889,43.9389,3.4651,64,6.03,12,7,96.98096522,1.81640542,0.425303286
CG_DRY_P_2_2,5cm,CG_DRY_P_2_2_5cm,Makao,24.5.2018,100.32,54.2629,53.0851,2.4185,65,6.28,11.5,5,69.27211801,1.2677777,0.745049504
CG_DRY_P_2_2,deep,CG_DRY_P_2_2_deep,Makao,24.5.2018,145.89,42.7822,41.812,4.5445,66,6.77,11.5,6.5,90.05375342,2.3822269,0.425080998
CG_DRY_P_3_1,5cm,CG_DRY_P_3_1_5cm,Makao,24.5.2018,110.66,44.505,43.4446,8.7885,67,6.39,13,5,69.27211801,4.6069317,0.535931341
CG_DRY_P_3_1,deep,CG_DRY_P_3_1_deep,Makao,24.5.2018,167.56,46.9389,45.7308,16.4189,68,7.22,13,8,110.8353888,8.60678738,0.286728954
CG_DRY_P_3_2,5cm,CG_DRY_P_3_2_5cm,Makao,24.5.2018,101.51,36.1342,35.5273,9.1415,69,6.45,13,5,69.27211801,4.7919743,0.409208145
CG_DRY_P_3_2,deep,CG_DRY_P_3_2_deep,Makao,24.5.2018,179.75,32.1695,31.2149,11.7745,70,7.2,13,8,110.8353888,6.1721929,0.185742465
CG_DRY_P_4_1,5cm,CG_DRY_P_4_1_5cm,Makao,24.5.2018,117.33,38.5966,37.7794,2.8769,71,6.37,13,5,69.27211801,1.50807098,0.515059261
CG_DRY_P_4_1,deep,CG_DRY_P_4_1_deep,Makao,24.5.2018,161.04,44.0366,43.3551,5.1156,72,7.17,13,8,110.8353888,2.68159752,0.353565969
CG_DRY_P_4_2,5cm,CG_DRY_P_4_2_5cm,Makao,24.5.2018,101.55,46.161,45.5053,3.2654,73,6.16,13,5,69.27211801,1.71172268,0.625216886
CG_DRY_P_4_2,deep,CG_DRY_P_4_2_deep,Makao,24.5.2018,167.96,54.4928,53.1037,3.6891,74,7.33,13,8,110.8353888,1.93382622,0.453754738
CG_DRY_W_1_1,5cm,CG_DRY_W_1_1_5cm,Maswa,25.5.2018,88.83,41.4315,40.3891,2.2331,111,6.33,14,5,69.27211801,1.17059102,0.560281123
CG_DRY_W_1_1,deep,CG_DRY_W_1_1_deep,Maswa,25.5.2018,154.29,35.2242,33.9171,1.8652,112,7.08,14,9,124.6898124,0.97773784,0.259084654
CG_DRY_W_1_1,deep,CG_DRY_W_1_1_deep,Maswa,25.5.2018,161.74,51.2329,50.4095,3.604,113,6.2,14,9,124.6898124,1.8892168,0.381150431
CG_DRY_W_1_2,5cm,CG_DRY_W_1_2_5cm,Maswa,25.5.2018,120.94,,34.1932,2.5251,114,6.3,14,5,69.27211801,1.32365742,0.466060595
CG_DRY_W_1_2,deep,CG_DRY_W_1_2_deep,Maswa,25.5.2018,148.62,35.5677,34.3777,1.0766,115,6.15,14,9,124.6898124,0.56435372,0.268285816
CG_DRY_W_2_1,5cm,CG_DRY_W_2_1_5cm,Maswa,25.5.2018,91.93,62.4556,60.7758,3.3878,116,6.19,10,5,69.27211801,1.77588476,0.850240039
CG_DRY_W_2_1,deep,CG_DRY_W_2_1_deep,Maswa,25.5.2018,101.07,39.6887,38.5172,3.8505,117,5.96,10,5,69.27211801,2.0184321,0.515461711
CG_DRY_W_2_2,5cm,CG_DRY_W_2_2_5cm,Maswa,25.5.2018,114.53,63.5579,62.2955,3.4322,118,6.36,15,5,69.27211801,1.79915924,0.872398381
CG_DRY_W_2_2,5cm,CG_DRY_W_2_2_5cm,Maswa,25.5.2018,94.47,43.7103,42.1934,0.6381,119,6.63,15,5,69.27211801,0.33449202,0.602795634
