Experiment;Season;Plot;Site;Region;Landuse;Block;Blockcode;Samplecode;Treatment;Littertype;Teabag code;Initial weight including bag, cord and label (g);Initial weight tea only (g);Ashed subsample percentage controll initial tea only (%);Ashed initial corrected weight  tea only (g);Final weight including bag and cord, no label (g);Final weight  tea only (g);Final weight tea only (from ash protocol);Ashed final subsample percentage  (%);Ashed final corrected weight  tea only (g);Burial date;Recovery date;incubation time red and green tea (days);Massloss (g) Ash uncorrected;Massloss (g);rain.sum (mm);CLAY %;SILT %;SAND %;Soil.Class;OC %;N.D. tree (m);N.D.Mound (m);Mound type;Tree with ants;Moisture %;Temperature (C);Lat;Long;Sign of termite cheeting;Sign of hole(s);Sign of roots ;S;K
Main;Dry;1;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T1;Open;Green;G407;1.966;1.716;5.51;1.622;1.278;1.127;1.077;21.68;0.84;22.07.2017;29.09.2017;69;0.589;0.778;6.90;12.57;0.97;86.47;loamy sand;1.02;26.4;41;M;1;3.8;26.90;-3.397861;34.837608;NO;YES;NO;0.459063014;
Main;Dry;2;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T2;Open;Green;;;;5.51;;;;;;;;;;;;;12.57;0.97;86.47;loamy sand;2.02;22.4;39.8;M;1;;;-3.397879042;34.83753601;NO;NO;NO;0.789042674;
Main;Dry;3;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T3;Open;Green;G259;1.913;1.663;5.51;1.571;1.596;1.446;1.414;10.61;1.26;22.07.2017;29.09.2017;69;0.217;0.308;6.90;12.57;0.97;86.47;loamy sand;3.02;;;;;3.3;25.00;-3.397874;34.837579;YES;YES;NO;;
Main;Dry;4;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T4;Open;Green;G255;2.031;1.781;5.51;1.683;1.622;1.471;1.473;8.58;1.35;22.07.2017;29.09.2017;69;0.310;0.337;6.90;12.57;0.97;86.47;loamy sand;4.02;;;;;2.25;27.35;-3.39777804;34.83751204;NO;NO;NO;0.959687134;
Main;Dry;5;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T5;Open;Green;G122;1.950;1.700;5.51;1.606;;;;;;22.07.2017;;;;;;12.57;0.97;86.47;loamy sand;5.02;28.4;36.4;M;1;3.2;26.70;-3.397802012;34.83751204;NO;NO;NO;0.843044998;
Main;Dry;6;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T6;Open;Green;G478;2.056;1.806;5.51;1.707;1.507;1.357;1.257;8.87;1.15;22.07.2017;29.09.2017;69;0.450;0.561;6.90;12.57;0.97;86.47;loamy sand;6.02;32.4;31;M;1;5.35;26.60;-3.39773898;34.83750198;NO;NO;NO;0.870765053;
Main;Dry;7;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T7;Open;Green;G106;2.123;1.873;5.51;1.770;2.019;1.868;1.815;8.48;1.66;22.07.2017;29.09.2017;69;0.005;0.109;6.90;12.57;0.97;86.47;loamy sand;7.02;36;43.4;M;1;2.95;24.75;-3.397763036;34.83760097;NO;YES;NO;0.644212369;
Main;Dry;8;Makao;Dry;Agriculture;1;Dry_Ag1;Dry_Ag1_T8;Open;Green;G228;1.976;1.726;5.51;1.631;0.833;0.683;0.638;14.55;0.54;22.07.2017;29.09.2017;69;1.044;1.086;6.90;12.57;0.97;86.47;loamy sand;8.02;36;38.4;M;;2.6;26.00;-3.397732023;34.83756199;NO;NO;YES;0.574281841;
Main;Dry;9;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T1;Open;Green;G277;1.930;1.680;5.51;1.588;1.935;1.784;1.676;22.77;1.29;22.07.2017;29.09.2017;69;-0.104;0.293;6.90;21.13;3.09;75.78;sandy clay loam;0.46;10.8;28.4;M;0;3.3;26.15;-3.397829002;34.83701197;YES;YES;NO;0.932228776;
Main;Dry;10;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T2;Open;Green;G310;2.046;1.796;5.51;1.697;;;;;;22.07.2017;;;;;;21.13;3.09;75.78;sandy clay loam;1.46;16.8;30;M;0;1.5;26.10;-3.397811987;34.83696898;NO;NO;NO;0.918334538;
Main;Dry;11;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T3;Open;Green;G435;2.001;1.751;5.51;1.655;1.793;1.643;1.577;10.24;1.42;22.07.2017;29.09.2017;69;0.108;0.239;6.90;21.13;3.09;75.78;sandy clay loam;2.46;11.4;24.4;M;0;5.3;26.45;-3.39779296;34.837103;YES;YES;NO;0.571323548;
Main;Dry;12;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T4;Open;Green;;;;5.51;;;;;;;;;;;;;21.13;3.09;75.78;sandy clay loam;3.46;;;;;;;-3.397905026;34.83712303;NO;NO;NO;0.644212369;
Main;Dry;13;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T5;Open;Green;G2;2.000;1.750;5.51;1.654;1.759;1.608;1.356;27.98;0.98;22.07.2017;29.09.2017;69;0.142;0.677;6.90;21.13;3.09;75.78;sandy clay loam;4.46;11.4;31;M;0;4.8;26.10;-3.39790402;34.83702798;YES;NO;NO;0.960492096;
Main;Dry;14;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T6;Open;Green;G225;2.117;1.867;5.51;1.764;1.250;1.099;1.046;30.87;0.72;22.07.2017;29.09.2017;69;0.768;1.041;6.90;21.13;3.09;75.78;sandy clay loam;5.46;28.4;42.4;M;0;3.4;25.55;-3.397854986;34.83687401;NO;YES;NO;0.645922047;
Main;Dry;15;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T7;Open;Green;G444;2.026;1.776;5.51;1.678;1.358;1.207;1.160;10.79;1.04;22.07.2017;29.09.2017;69;0.569;0.643;6.90;21.13;3.09;75.78;sandy clay loam;6.46;15.8;30.4;M;0;3.1;28.00;-3.397806035;34.83702396;YES;YES;NO;0.925361452;
Main;Dry;16;Makao;Dry;Agriculture;2;Dry_Ag2;Dry_Ag2_T8;Open;Green;G376;2.033;1.783;5.51;1.685;0.992;0.841;0.742;27.00;0.54;22.07.2017;29.09.2017;69;0.942;1.143;6.90;21.13;3.09;75.78;sandy clay loam;7.46;8;12.4;M;0;9.2;27.05;-3.397766976;34.83718104;YES;YES;NO;;
Main;Dry;17;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T1;Open;Green;G209;2.116;1.866;5.51;1.763;1.909;1.758;1.741;5.43;1.65;20.07.2017;29.09.2017;71;0.108;0.117;6.90;54.08;21.26;24.65;clay;1.84;;;;;12.9;26.20;-3.385409033;34.81890103;NO;NO;NO;0.937746166;
Main;Dry;18;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T2;Open;Green;G10;1.971;1.721;5.51;1.626;1.771;1.620;1.616;5.83;1.52;20.07.2017;29.09.2017;71;0.101;0.105;6.90;54.08;21.26;24.65;clay;2.84;;;;;11.15;26.10;-3.385375002;34.81894;NO;NO;NO;0.947979083;
Main;Dry;19;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T3;Open;Green;G190;1.909;1.659;5.51;1.568;1.704;1.554;1.552;6.03;1.46;20.07.2017;29.09.2017;71;0.106;0.110;6.90;54.08;21.26;24.65;clay;3.84;;;;;15.75;25.70;-3.385358993;34.81899197;NO;YES;NO;0.435302667;
Main;Dry;20;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T4;Open;Green;G38;1.930;1.680;5.51;1.588;1.674;1.523;1.515;6.72;1.41;20.07.2017;29.09.2017;71;0.157;0.174;6.90;54.08;21.26;24.65;clay;4.84;;;;;16;26.30;-3.385396963;34.81897797;NO;YES;NO;;
Main;Dry;21;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T5;Open;Green;G468;2.131;1.881;5.51;1.777;1.405;1.255;1.156;9.48;1.05;20.07.2017;29.09.2017;71;0.626;0.731;6.90;54.08;21.26;24.65;clay;5.84;;;;;13.2;26.10;-3.385401992;34.81894604;NO;NO;NO;0.742579284;
Main;Dry;22;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T6;Open;Green;G8;2.021;1.771;5.51;1.674;1.472;1.322;1.296;8.79;1.18;20.07.2017;29.09.2017;71;0.450;0.491;6.90;54.08;21.26;24.65;clay;6.84;;;;;19.05;25.75;-3.385447003;34.81894696;NO;NO;NO;0.891605256;
Main;Dry;23;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T7;Open;Green;;;;5.51;;;;;;;;;;;;;54.08;21.26;24.65;clay;7.84;;;;;;;-3.385420013;34.81885602;NO;NO;NO;0.864265093;
Main;Dry;24;Makao;Dry;Agriculture;3;Dry_Ag3;Dry_Ag3_T8;Open;Green;G320;2.044;1.794;5.51;1.695;1.753;1.602;1.560;6.27;1.46;20.07.2017;29.09.2017;71;0.192;0.233;6.90;54.08;21.26;24.65;clay;8.84;;;;;15.6;25.50;-3.385382965;34.81887798;NO;NO;NO;0.889622017;
